timestamp,source,book,sport,game_id,game_date,game_time,away_team,home_team,spread_line,spread_away_bets_pct,spread_home_bets_pct,spread_away_handle_pct,spread_home_handle_pct,total_line,total_over_bets_pct,total_under_bets_pct,total_over_handle_pct,total_under_handle_pct,ml_away_bets_pct,ml_home_bets_pct,ml_away_handle_pct,ml_home_handle_pct,spread_bets_handle_divergence,total_bets_handle_divergence,sharp_signal_spread,sharp_signal_total,scrape_num,d_spread_line,d_spread_away_bets_pct,d_spread_home_bets_pct,d_spread_away_handle_pct,d_spread_home_handle_pct,d_total_line,d_total_over_bets_pct,d_total_under_bets_pct,d_total_over_handle_pct,d_total_under_handle_pct,d_ml_away_bets_pct,d_ml_home_bets_pct
2026-05-16T02:05:05.595222-04:00,vsin_circa,circa,cbase,cbase_20260515_las_vegas_aces_connecticut_sun,May 15,,Las Vegas Aces,Connecticut Sun,-15.0,50.0,50.0,50.0,50.0,172.5,50.0,50.0,50.0,50.0,0.0,100.0,0.0,100.0,0.0,0.0,False,False,1,,,,,,,,,,,,
2026-05-16T02:05:05.595222-04:00,vsin_circa,circa,cbase,cbase_20260515_washington_mystics_indiana_fever,May 15,,Washington Mystics,Indiana Fever,8.5,67.0,33.0,43.0,57.0,170.0,67.0,33.0,33.0,67.0,50.0,50.0,0.0,100.0,24.0,34.0,True,True,1,,,,,,,,,,,,
2026-05-16T02:05:05.595222-04:00,vsin_circa,circa,cbase,cbase_20260515_toronto_tempo_los_angeles_sparks,May 15,,Toronto Tempo,Los Angeles Sparks,7.5,60.0,40.0,66.0,34.0,170.5,33.0,67.0,37.0,63.0,100.0,0.0,100.0,0.0,6.0,4.0,False,False,1,,,,,,,,,,,,
2026-05-16T02:05:05.595222-04:00,vsin_circa,circa,cbase,cbase_20260515_chicago_sky_phoenix_mercury,May 15,,Chicago Sky,Phoenix Mercury,4.0,57.0,43.0,55.0,45.0,166.5,0.0,100.0,0.0,100.0,50.0,50.0,3.0,97.0,2.0,,False,,1,,,,,,,,,,,,
2026-05-16T02:34:19.147853-04:00,vsin_dk,draftkings,cbase,cbase_20260515_detroit_pistons_cleveland_cavaliers,May 15,,Detroit Pistons,Cleveland Cavaliers,3.5,55.0,45.0,69.0,31.0,209.5,82.0,18.0,71.0,29.0,47.0,53.0,60.0,40.0,14.0,11.0,False,False,1,,,,,,,,,,,,
2026-05-16T02:34:19.147853-04:00,vsin_dk,draftkings,cbase,cbase_20260515_san_antonio_spurs_minnesota_timberwolves,May 15,,San Antonio Spurs,Minnesota Timberwolves,-5.5,62.0,38.0,71.0,29.0,219.5,80.0,20.0,71.0,29.0,64.0,36.0,63.0,37.0,9.0,9.0,False,False,1,,,,,,,,,,,,
2026-05-16T02:34:19.147853-04:00,vsin_dk,draftkings,cbase,cbase_20260515_orlando_dallas_renegades,May 15,,Orlando,Dallas Renegades,3.0,58.0,42.0,67.0,33.0,45.5,87.0,13.0,83.0,17.0,56.0,44.0,79.0,21.0,9.0,4.0,False,False,1,,,,,,,,,,,,
2026-05-16T02:34:19.147853-04:00,vsin_dk,draftkings,cbase,cbase_20260515_las_vegas_aces_connecticut_sun,May 15,,Las Vegas Aces,Connecticut Sun,-15.5,67.0,33.0,23.0,77.0,172.5,44.0,56.0,60.0,40.0,86.0,14.0,72.0,28.0,44.0,16.0,True,True,1,,,,,,,,,,,,
2026-05-16T02:34:19.147853-04:00,vsin_dk,draftkings,cbase,cbase_20260515_washington_mystics_indiana_fever,May 15,,Washington Mystics,Indiana Fever,8.5,37.0,63.0,32.0,68.0,170.5,55.0,45.0,58.0,42.0,11.0,89.0,17.0,83.0,5.0,3.0,False,False,1,,,,,,,,,,,,
2026-05-16T02:34:19.147853-04:00,vsin_dk,draftkings,cbase,cbase_20260515_toronto_tempo_los_angeles_sparks,May 15,,Toronto Tempo,Los Angeles Sparks,7.5,46.0,54.0,34.0,66.0,170.5,43.0,57.0,66.0,34.0,19.0,81.0,40.0,60.0,12.0,23.0,False,True,1,,,,,,,,,,,,
2026-05-16T02:34:19.147853-04:00,vsin_dk,draftkings,cbase,cbase_20260515_chicago_sky_phoenix_mercury,May 15,,Chicago Sky,Phoenix Mercury,4.5,40.0,60.0,28.0,72.0,165.5,49.0,51.0,48.0,52.0,32.0,68.0,35.0,65.0,12.0,1.0,False,False,1,,,,,,,,,,,,
2026-05-16T02:35:01.305184-04:00,vsin_circa,circa,cbase,cbase_20260515_detroit_pistons_cleveland_cavaliers,May 15,,Detroit Pistons,Cleveland Cavaliers,4.0,45.0,55.0,51.0,49.0,209.5,70.0,30.0,31.0,69.0,57.0,43.0,28.0,72.0,6.0,39.0,False,True,1,,,,,,,,,,,,
2026-05-16T02:35:01.305184-04:00,vsin_circa,circa,cbase,cbase_20260515_san_antonio_spurs_minnesota_timberwolves,May 15,,San Antonio Spurs,Minnesota Timberwolves,-5.5,71.0,29.0,83.0,17.0,219.0,74.0,26.0,97.0,3.0,57.0,43.0,75.0,25.0,12.0,23.0,False,True,1,,,,,,,,,,,,
2026-05-16T02:35:01.305184-04:00,vsin_circa,circa,cbase,cbase_20260515_orlando_dallas_renegades,May 15,,Orlando,Dallas Renegades,2.5,0.0,100.0,0.0,100.0,45.0,75.0,25.0,74.0,26.0,0.0,100.0,0.0,100.0,0.0,1.0,False,False,1,,,,,,,,,,,,
2026-05-16T02:35:01.305184-04:00,vsin_circa,circa,cbase,cbase_20260515_las_vegas_aces_connecticut_sun,May 15,,Las Vegas Aces,Connecticut Sun,-15.0,50.0,50.0,50.0,50.0,172.5,50.0,50.0,50.0,50.0,0.0,100.0,0.0,100.0,0.0,0.0,False,False,1,,,,,,,,,,,,
2026-05-16T02:35:01.305184-04:00,vsin_circa,circa,cbase,cbase_20260515_washington_mystics_indiana_fever,May 15,,Washington Mystics,Indiana Fever,8.5,67.0,33.0,43.0,57.0,170.0,67.0,33.0,33.0,67.0,50.0,50.0,0.0,100.0,24.0,34.0,True,True,1,,,,,,,,,,,,
2026-05-16T02:35:01.305184-04:00,vsin_circa,circa,cbase,cbase_20260515_toronto_tempo_los_angeles_sparks,May 15,,Toronto Tempo,Los Angeles Sparks,7.5,60.0,40.0,66.0,34.0,170.5,33.0,67.0,37.0,63.0,100.0,0.0,100.0,0.0,6.0,4.0,False,False,1,,,,,,,,,,,,
2026-05-16T02:35:01.305184-04:00,vsin_circa,circa,cbase,cbase_20260515_chicago_sky_phoenix_mercury,May 15,,Chicago Sky,Phoenix Mercury,4.0,57.0,43.0,55.0,45.0,166.5,0.0,100.0,0.0,100.0,50.0,50.0,3.0,97.0,2.0,,False,,1,,,,,,,,,,,,
2026-05-16T03:04:13.630539-04:00,vsin_dk,draftkings,cbase,cbase_20260515_detroit_pistons_cleveland_cavaliers,May 15,,Detroit Pistons,Cleveland Cavaliers,3.5,55.0,45.0,69.0,31.0,209.5,82.0,18.0,71.0,29.0,47.0,53.0,60.0,40.0,14.0,11.0,False,False,1,,,,,,,,,,,,
2026-05-16T03:04:13.630539-04:00,vsin_dk,draftkings,cbase,cbase_20260515_san_antonio_spurs_minnesota_timberwolves,May 15,,San Antonio Spurs,Minnesota Timberwolves,-5.5,62.0,38.0,71.0,29.0,219.5,80.0,20.0,71.0,29.0,64.0,36.0,63.0,37.0,9.0,9.0,False,False,1,,,,,,,,,,,,
2026-05-16T03:04:13.630539-04:00,vsin_dk,draftkings,cbase,cbase_20260515_orlando_dallas_renegades,May 15,,Orlando,Dallas Renegades,3.0,58.0,42.0,67.0,33.0,45.5,87.0,13.0,83.0,17.0,56.0,44.0,79.0,21.0,9.0,4.0,False,False,1,,,,,,,,,,,,
2026-05-16T03:04:13.630539-04:00,vsin_dk,draftkings,cbase,cbase_20260515_las_vegas_aces_connecticut_sun,May 15,,Las Vegas Aces,Connecticut Sun,-15.5,67.0,33.0,23.0,77.0,172.5,44.0,56.0,60.0,40.0,86.0,14.0,72.0,28.0,44.0,16.0,True,True,1,,,,,,,,,,,,
2026-05-16T03:04:13.630539-04:00,vsin_dk,draftkings,cbase,cbase_20260515_washington_mystics_indiana_fever,May 15,,Washington Mystics,Indiana Fever,8.5,37.0,63.0,32.0,68.0,170.5,55.0,45.0,58.0,42.0,11.0,89.0,17.0,83.0,5.0,3.0,False,False,1,,,,,,,,,,,,
2026-05-16T03:04:13.630539-04:00,vsin_dk,draftkings,cbase,cbase_20260515_toronto_tempo_los_angeles_sparks,May 15,,Toronto Tempo,Los Angeles Sparks,7.5,46.0,54.0,34.0,66.0,170.5,43.0,57.0,66.0,34.0,19.0,81.0,40.0,60.0,12.0,23.0,False,True,1,,,,,,,,,,,,
2026-05-16T03:04:13.630539-04:00,vsin_dk,draftkings,cbase,cbase_20260515_chicago_sky_phoenix_mercury,May 15,,Chicago Sky,Phoenix Mercury,4.5,40.0,60.0,28.0,72.0,165.5,49.0,51.0,48.0,52.0,32.0,68.0,35.0,65.0,12.0,1.0,False,False,1,,,,,,,,,,,,
2026-05-16T03:04:50.617237-04:00,vsin_circa,circa,cbase,cbase_20260515_detroit_pistons_cleveland_cavaliers,May 15,,Detroit Pistons,Cleveland Cavaliers,4.0,45.0,55.0,51.0,49.0,209.5,70.0,30.0,31.0,69.0,57.0,43.0,28.0,72.0,6.0,39.0,False,True,1,,,,,,,,,,,,
2026-05-16T03:04:50.617237-04:00,vsin_circa,circa,cbase,cbase_20260515_san_antonio_spurs_minnesota_timberwolves,May 15,,San Antonio Spurs,Minnesota Timberwolves,-5.5,71.0,29.0,83.0,17.0,219.0,74.0,26.0,97.0,3.0,57.0,43.0,75.0,25.0,12.0,23.0,False,True,1,,,,,,,,,,,,
2026-05-16T03:04:50.617237-04:00,vsin_circa,circa,cbase,cbase_20260515_orlando_dallas_renegades,May 15,,Orlando,Dallas Renegades,2.5,0.0,100.0,0.0,100.0,45.0,75.0,25.0,74.0,26.0,0.0,100.0,0.0,100.0,0.0,1.0,False,False,1,,,,,,,,,,,,
2026-05-16T03:04:50.617237-04:00,vsin_circa,circa,cbase,cbase_20260515_las_vegas_aces_connecticut_sun,May 15,,Las Vegas Aces,Connecticut Sun,-15.0,50.0,50.0,50.0,50.0,172.5,50.0,50.0,50.0,50.0,0.0,100.0,0.0,100.0,0.0,0.0,False,False,1,,,,,,,,,,,,
2026-05-16T03:04:50.617237-04:00,vsin_circa,circa,cbase,cbase_20260515_washington_mystics_indiana_fever,May 15,,Washington Mystics,Indiana Fever,8.5,67.0,33.0,43.0,57.0,170.0,67.0,33.0,33.0,67.0,50.0,50.0,0.0,100.0,24.0,34.0,True,True,1,,,,,,,,,,,,
2026-05-16T03:04:50.617237-04:00,vsin_circa,circa,cbase,cbase_20260515_toronto_tempo_los_angeles_sparks,May 15,,Toronto Tempo,Los Angeles Sparks,7.5,60.0,40.0,66.0,34.0,170.5,33.0,67.0,37.0,63.0,100.0,0.0,100.0,0.0,6.0,4.0,False,False,1,,,,,,,,,,,,
2026-05-16T03:04:50.617237-04:00,vsin_circa,circa,cbase,cbase_20260515_chicago_sky_phoenix_mercury,May 15,,Chicago Sky,Phoenix Mercury,4.0,57.0,43.0,55.0,45.0,166.5,0.0,100.0,0.0,100.0,50.0,50.0,3.0,97.0,2.0,,False,,1,,,,,,,,,,,,
2026-05-16T03:33:47.612231-04:00,vsin_dk,draftkings,cbase,cbase_20260515_detroit_pistons_cleveland_cavaliers,May 15,,Detroit Pistons,Cleveland Cavaliers,3.5,55.0,45.0,69.0,31.0,209.5,82.0,18.0,71.0,29.0,47.0,53.0,60.0,40.0,14.0,11.0,False,False,1,,,,,,,,,,,,
2026-05-16T03:33:47.612231-04:00,vsin_dk,draftkings,cbase,cbase_20260515_san_antonio_spurs_minnesota_timberwolves,May 15,,San Antonio Spurs,Minnesota Timberwolves,-5.5,62.0,38.0,71.0,29.0,219.5,80.0,20.0,71.0,29.0,64.0,36.0,63.0,37.0,9.0,9.0,False,False,1,,,,,,,,,,,,
2026-05-16T03:33:47.612231-04:00,vsin_dk,draftkings,cbase,cbase_20260515_orlando_dallas_renegades,May 15,,Orlando,Dallas Renegades,3.0,58.0,42.0,67.0,33.0,45.5,87.0,13.0,83.0,17.0,56.0,44.0,79.0,21.0,9.0,4.0,False,False,1,,,,,,,,,,,,
2026-05-16T03:33:47.612231-04:00,vsin_dk,draftkings,cbase,cbase_20260515_las_vegas_aces_connecticut_sun,May 15,,Las Vegas Aces,Connecticut Sun,-15.5,67.0,33.0,23.0,77.0,172.5,44.0,56.0,60.0,40.0,86.0,14.0,72.0,28.0,44.0,16.0,True,True,1,,,,,,,,,,,,
2026-05-16T03:33:47.612231-04:00,vsin_dk,draftkings,cbase,cbase_20260515_washington_mystics_indiana_fever,May 15,,Washington Mystics,Indiana Fever,8.5,37.0,63.0,32.0,68.0,170.5,55.0,45.0,58.0,42.0,11.0,89.0,17.0,83.0,5.0,3.0,False,False,1,,,,,,,,,,,,
2026-05-16T03:33:47.612231-04:00,vsin_dk,draftkings,cbase,cbase_20260515_toronto_tempo_los_angeles_sparks,May 15,,Toronto Tempo,Los Angeles Sparks,7.5,46.0,54.0,34.0,66.0,170.5,43.0,57.0,66.0,34.0,19.0,81.0,40.0,60.0,12.0,23.0,False,True,1,,,,,,,,,,,,
2026-05-16T03:33:47.612231-04:00,vsin_dk,draftkings,cbase,cbase_20260515_chicago_sky_phoenix_mercury,May 15,,Chicago Sky,Phoenix Mercury,4.5,40.0,60.0,28.0,72.0,165.5,49.0,51.0,48.0,52.0,32.0,68.0,35.0,65.0,12.0,1.0,False,False,1,,,,,,,,,,,,
2026-05-16T03:34:30.008293-04:00,vsin_circa,circa,cbase,cbase_20260515_detroit_pistons_cleveland_cavaliers,May 15,,Detroit Pistons,Cleveland Cavaliers,4.0,45.0,55.0,51.0,49.0,209.5,70.0,30.0,31.0,69.0,57.0,43.0,28.0,72.0,6.0,39.0,False,True,1,,,,,,,,,,,,
2026-05-16T03:34:30.008293-04:00,vsin_circa,circa,cbase,cbase_20260515_san_antonio_spurs_minnesota_timberwolves,May 15,,San Antonio Spurs,Minnesota Timberwolves,-5.5,71.0,29.0,83.0,17.0,219.0,74.0,26.0,97.0,3.0,57.0,43.0,75.0,25.0,12.0,23.0,False,True,1,,,,,,,,,,,,
2026-05-16T03:34:30.008293-04:00,vsin_circa,circa,cbase,cbase_20260515_orlando_dallas_renegades,May 15,,Orlando,Dallas Renegades,2.5,0.0,100.0,0.0,100.0,45.0,75.0,25.0,74.0,26.0,0.0,100.0,0.0,100.0,0.0,1.0,False,False,1,,,,,,,,,,,,
2026-05-16T03:34:30.008293-04:00,vsin_circa,circa,cbase,cbase_20260515_las_vegas_aces_connecticut_sun,May 15,,Las Vegas Aces,Connecticut Sun,-15.0,50.0,50.0,50.0,50.0,172.5,50.0,50.0,50.0,50.0,0.0,100.0,0.0,100.0,0.0,0.0,False,False,1,,,,,,,,,,,,
2026-05-16T03:34:30.008293-04:00,vsin_circa,circa,cbase,cbase_20260515_washington_mystics_indiana_fever,May 15,,Washington Mystics,Indiana Fever,8.5,67.0,33.0,43.0,57.0,170.0,67.0,33.0,33.0,67.0,50.0,50.0,0.0,100.0,24.0,34.0,True,True,1,,,,,,,,,,,,
2026-05-16T03:34:30.008293-04:00,vsin_circa,circa,cbase,cbase_20260515_toronto_tempo_los_angeles_sparks,May 15,,Toronto Tempo,Los Angeles Sparks,7.5,60.0,40.0,66.0,34.0,170.5,33.0,67.0,37.0,63.0,100.0,0.0,100.0,0.0,6.0,4.0,False,False,1,,,,,,,,,,,,
2026-05-16T03:34:30.008293-04:00,vsin_circa,circa,cbase,cbase_20260515_chicago_sky_phoenix_mercury,May 15,,Chicago Sky,Phoenix Mercury,4.0,57.0,43.0,55.0,45.0,166.5,0.0,100.0,0.0,100.0,50.0,50.0,3.0,97.0,2.0,,False,,1,,,,,,,,,,,,
2026-05-16T04:04:10.276834-04:00,vsin_dk,draftkings,cbase,cbase_20260515_detroit_pistons_cleveland_cavaliers,May 15,,Detroit Pistons,Cleveland Cavaliers,3.5,55.0,45.0,69.0,31.0,209.5,82.0,18.0,71.0,29.0,47.0,53.0,60.0,40.0,14.0,11.0,False,False,1,,,,,,,,,,,,
2026-05-16T04:04:10.276834-04:00,vsin_dk,draftkings,cbase,cbase_20260515_san_antonio_spurs_minnesota_timberwolves,May 15,,San Antonio Spurs,Minnesota Timberwolves,-5.5,62.0,38.0,71.0,29.0,219.5,80.0,20.0,71.0,29.0,64.0,36.0,63.0,37.0,9.0,9.0,False,False,1,,,,,,,,,,,,
2026-05-16T04:04:10.276834-04:00,vsin_dk,draftkings,cbase,cbase_20260515_orlando_dallas_renegades,May 15,,Orlando,Dallas Renegades,3.0,58.0,42.0,67.0,33.0,45.5,87.0,13.0,83.0,17.0,56.0,44.0,79.0,21.0,9.0,4.0,False,False,1,,,,,,,,,,,,
2026-05-16T04:04:10.276834-04:00,vsin_dk,draftkings,cbase,cbase_20260515_las_vegas_aces_connecticut_sun,May 15,,Las Vegas Aces,Connecticut Sun,-15.5,67.0,33.0,23.0,77.0,172.5,44.0,56.0,60.0,40.0,86.0,14.0,72.0,28.0,44.0,16.0,True,True,1,,,,,,,,,,,,
2026-05-16T04:04:10.276834-04:00,vsin_dk,draftkings,cbase,cbase_20260515_washington_mystics_indiana_fever,May 15,,Washington Mystics,Indiana Fever,8.5,37.0,63.0,32.0,68.0,170.5,55.0,45.0,58.0,42.0,11.0,89.0,17.0,83.0,5.0,3.0,False,False,1,,,,,,,,,,,,
2026-05-16T04:04:10.276834-04:00,vsin_dk,draftkings,cbase,cbase_20260515_toronto_tempo_los_angeles_sparks,May 15,,Toronto Tempo,Los Angeles Sparks,7.5,46.0,54.0,34.0,66.0,170.5,43.0,57.0,66.0,34.0,19.0,81.0,40.0,60.0,12.0,23.0,False,True,1,,,,,,,,,,,,
2026-05-16T04:04:10.276834-04:00,vsin_dk,draftkings,cbase,cbase_20260515_chicago_sky_phoenix_mercury,May 15,,Chicago Sky,Phoenix Mercury,4.5,40.0,60.0,28.0,72.0,165.5,49.0,51.0,48.0,52.0,32.0,68.0,35.0,65.0,12.0,1.0,False,False,1,,,,,,,,,,,,
2026-05-16T04:04:50.946815-04:00,vsin_circa,circa,cbase,cbase_20260515_detroit_pistons_cleveland_cavaliers,May 15,,Detroit Pistons,Cleveland Cavaliers,4.0,45.0,55.0,51.0,49.0,209.5,70.0,30.0,31.0,69.0,57.0,43.0,28.0,72.0,6.0,39.0,False,True,1,,,,,,,,,,,,
2026-05-16T04:04:50.946815-04:00,vsin_circa,circa,cbase,cbase_20260515_san_antonio_spurs_minnesota_timberwolves,May 15,,San Antonio Spurs,Minnesota Timberwolves,-5.5,71.0,29.0,83.0,17.0,219.0,74.0,26.0,97.0,3.0,57.0,43.0,75.0,25.0,12.0,23.0,False,True,1,,,,,,,,,,,,
2026-05-16T04:04:50.946815-04:00,vsin_circa,circa,cbase,cbase_20260515_orlando_dallas_renegades,May 15,,Orlando,Dallas Renegades,2.5,0.0,100.0,0.0,100.0,45.0,75.0,25.0,74.0,26.0,0.0,100.0,0.0,100.0,0.0,1.0,False,False,1,,,,,,,,,,,,
2026-05-16T04:04:50.946815-04:00,vsin_circa,circa,cbase,cbase_20260515_las_vegas_aces_connecticut_sun,May 15,,Las Vegas Aces,Connecticut Sun,-15.0,50.0,50.0,50.0,50.0,172.5,50.0,50.0,50.0,50.0,0.0,100.0,0.0,100.0,0.0,0.0,False,False,1,,,,,,,,,,,,
2026-05-16T04:04:50.946815-04:00,vsin_circa,circa,cbase,cbase_20260515_washington_mystics_indiana_fever,May 15,,Washington Mystics,Indiana Fever,8.5,67.0,33.0,43.0,57.0,170.0,67.0,33.0,33.0,67.0,50.0,50.0,0.0,100.0,24.0,34.0,True,True,1,,,,,,,,,,,,
2026-05-16T04:04:50.946815-04:00,vsin_circa,circa,cbase,cbase_20260515_toronto_tempo_los_angeles_sparks,May 15,,Toronto Tempo,Los Angeles Sparks,7.5,60.0,40.0,66.0,34.0,170.5,33.0,67.0,37.0,63.0,100.0,0.0,100.0,0.0,6.0,4.0,False,False,1,,,,,,,,,,,,
2026-05-16T04:04:50.946815-04:00,vsin_circa,circa,cbase,cbase_20260515_chicago_sky_phoenix_mercury,May 15,,Chicago Sky,Phoenix Mercury,4.0,57.0,43.0,55.0,45.0,166.5,0.0,100.0,0.0,100.0,50.0,50.0,3.0,97.0,2.0,,False,,1,,,,,,,,,,,,
2026-05-16T04:34:18.458932-04:00,vsin_dk,draftkings,cbase,cbase_20260515_detroit_pistons_cleveland_cavaliers,May 15,,Detroit Pistons,Cleveland Cavaliers,3.5,55.0,45.0,69.0,31.0,209.5,82.0,18.0,71.0,29.0,47.0,53.0,60.0,40.0,14.0,11.0,False,False,1,,,,,,,,,,,,
2026-05-16T04:34:18.458932-04:00,vsin_dk,draftkings,cbase,cbase_20260515_san_antonio_spurs_minnesota_timberwolves,May 15,,San Antonio Spurs,Minnesota Timberwolves,-5.5,62.0,38.0,71.0,29.0,219.5,80.0,20.0,71.0,29.0,64.0,36.0,63.0,37.0,9.0,9.0,False,False,1,,,,,,,,,,,,
2026-05-16T04:34:18.458932-04:00,vsin_dk,draftkings,cbase,cbase_20260515_orlando_dallas_renegades,May 15,,Orlando,Dallas Renegades,3.0,58.0,42.0,67.0,33.0,45.5,87.0,13.0,83.0,17.0,56.0,44.0,79.0,21.0,9.0,4.0,False,False,1,,,,,,,,,,,,
2026-05-16T04:34:18.458932-04:00,vsin_dk,draftkings,cbase,cbase_20260515_las_vegas_aces_connecticut_sun,May 15,,Las Vegas Aces,Connecticut Sun,-15.5,67.0,33.0,23.0,77.0,172.5,44.0,56.0,60.0,40.0,86.0,14.0,72.0,28.0,44.0,16.0,True,True,1,,,,,,,,,,,,
2026-05-16T04:34:18.458932-04:00,vsin_dk,draftkings,cbase,cbase_20260515_washington_mystics_indiana_fever,May 15,,Washington Mystics,Indiana Fever,8.5,37.0,63.0,32.0,68.0,170.5,55.0,45.0,58.0,42.0,11.0,89.0,17.0,83.0,5.0,3.0,False,False,1,,,,,,,,,,,,
2026-05-16T04:34:18.458932-04:00,vsin_dk,draftkings,cbase,cbase_20260515_toronto_tempo_los_angeles_sparks,May 15,,Toronto Tempo,Los Angeles Sparks,7.5,46.0,54.0,34.0,66.0,170.5,43.0,57.0,66.0,34.0,19.0,81.0,40.0,60.0,12.0,23.0,False,True,1,,,,,,,,,,,,
2026-05-16T04:34:18.458932-04:00,vsin_dk,draftkings,cbase,cbase_20260515_chicago_sky_phoenix_mercury,May 15,,Chicago Sky,Phoenix Mercury,4.5,40.0,60.0,28.0,72.0,165.5,49.0,51.0,48.0,52.0,32.0,68.0,35.0,65.0,12.0,1.0,False,False,1,,,,,,,,,,,,
2026-05-16T04:35:01.554294-04:00,vsin_circa,circa,cbase,cbase_20260515_detroit_pistons_cleveland_cavaliers,May 15,,Detroit Pistons,Cleveland Cavaliers,4.0,45.0,55.0,51.0,49.0,209.5,70.0,30.0,31.0,69.0,57.0,43.0,28.0,72.0,6.0,39.0,False,True,1,,,,,,,,,,,,
2026-05-16T04:35:01.554294-04:00,vsin_circa,circa,cbase,cbase_20260515_san_antonio_spurs_minnesota_timberwolves,May 15,,San Antonio Spurs,Minnesota Timberwolves,-5.5,71.0,29.0,83.0,17.0,219.0,74.0,26.0,97.0,3.0,57.0,43.0,75.0,25.0,12.0,23.0,False,True,1,,,,,,,,,,,,
2026-05-16T04:35:01.554294-04:00,vsin_circa,circa,cbase,cbase_20260515_orlando_dallas_renegades,May 15,,Orlando,Dallas Renegades,2.5,0.0,100.0,0.0,100.0,45.0,75.0,25.0,74.0,26.0,0.0,100.0,0.0,100.0,0.0,1.0,False,False,1,,,,,,,,,,,,
2026-05-16T04:35:01.554294-04:00,vsin_circa,circa,cbase,cbase_20260515_las_vegas_aces_connecticut_sun,May 15,,Las Vegas Aces,Connecticut Sun,-15.0,50.0,50.0,50.0,50.0,172.5,50.0,50.0,50.0,50.0,0.0,100.0,0.0,100.0,0.0,0.0,False,False,1,,,,,,,,,,,,
2026-05-16T04:35:01.554294-04:00,vsin_circa,circa,cbase,cbase_20260515_washington_mystics_indiana_fever,May 15,,Washington Mystics,Indiana Fever,8.5,67.0,33.0,43.0,57.0,170.0,67.0,33.0,33.0,67.0,50.0,50.0,0.0,100.0,24.0,34.0,True,True,1,,,,,,,,,,,,
2026-05-16T04:35:01.554294-04:00,vsin_circa,circa,cbase,cbase_20260515_toronto_tempo_los_angeles_sparks,May 15,,Toronto Tempo,Los Angeles Sparks,7.5,60.0,40.0,66.0,34.0,170.5,33.0,67.0,37.0,63.0,100.0,0.0,100.0,0.0,6.0,4.0,False,False,1,,,,,,,,,,,,
2026-05-16T04:35:01.554294-04:00,vsin_circa,circa,cbase,cbase_20260515_chicago_sky_phoenix_mercury,May 15,,Chicago Sky,Phoenix Mercury,4.0,57.0,43.0,55.0,45.0,166.5,0.0,100.0,0.0,100.0,50.0,50.0,3.0,97.0,2.0,,False,,1,,,,,,,,,,,,
2026-05-16T05:04:28.259154-04:00,vsin_dk,draftkings,cbase,cbase_20260515_detroit_pistons_cleveland_cavaliers,May 15,,Detroit Pistons,Cleveland Cavaliers,3.5,55.0,45.0,69.0,31.0,209.5,82.0,18.0,71.0,29.0,47.0,53.0,60.0,40.0,14.0,11.0,False,False,1,,,,,,,,,,,,
2026-05-16T05:04:28.259154-04:00,vsin_dk,draftkings,cbase,cbase_20260515_san_antonio_spurs_minnesota_timberwolves,May 15,,San Antonio Spurs,Minnesota Timberwolves,-5.5,62.0,38.0,71.0,29.0,219.5,80.0,20.0,71.0,29.0,64.0,36.0,63.0,37.0,9.0,9.0,False,False,1,,,,,,,,,,,,
2026-05-16T05:04:28.259154-04:00,vsin_dk,draftkings,cbase,cbase_20260515_orlando_dallas_renegades,May 15,,Orlando,Dallas Renegades,3.0,58.0,42.0,67.0,33.0,45.5,87.0,13.0,83.0,17.0,56.0,44.0,79.0,21.0,9.0,4.0,False,False,1,,,,,,,,,,,,
2026-05-16T05:04:28.259154-04:00,vsin_dk,draftkings,cbase,cbase_20260515_las_vegas_aces_connecticut_sun,May 15,,Las Vegas Aces,Connecticut Sun,-15.5,67.0,33.0,23.0,77.0,172.5,44.0,56.0,60.0,40.0,86.0,14.0,72.0,28.0,44.0,16.0,True,True,1,,,,,,,,,,,,
2026-05-16T05:04:28.259154-04:00,vsin_dk,draftkings,cbase,cbase_20260515_washington_mystics_indiana_fever,May 15,,Washington Mystics,Indiana Fever,8.5,37.0,63.0,32.0,68.0,170.5,55.0,45.0,58.0,42.0,11.0,89.0,17.0,83.0,5.0,3.0,False,False,1,,,,,,,,,,,,
2026-05-16T05:04:28.259154-04:00,vsin_dk,draftkings,cbase,cbase_20260515_toronto_tempo_los_angeles_sparks,May 15,,Toronto Tempo,Los Angeles Sparks,7.5,46.0,54.0,34.0,66.0,170.5,43.0,57.0,66.0,34.0,19.0,81.0,40.0,60.0,12.0,23.0,False,True,1,,,,,,,,,,,,
2026-05-16T05:04:28.259154-04:00,vsin_dk,draftkings,cbase,cbase_20260515_chicago_sky_phoenix_mercury,May 15,,Chicago Sky,Phoenix Mercury,4.5,40.0,60.0,28.0,72.0,165.5,49.0,51.0,48.0,52.0,32.0,68.0,35.0,65.0,12.0,1.0,False,False,1,,,,,,,,,,,,
2026-05-16T05:05:11.617104-04:00,vsin_circa,circa,cbase,cbase_20260515_detroit_pistons_cleveland_cavaliers,May 15,,Detroit Pistons,Cleveland Cavaliers,4.0,45.0,55.0,51.0,49.0,209.5,70.0,30.0,31.0,69.0,57.0,43.0,28.0,72.0,6.0,39.0,False,True,1,,,,,,,,,,,,
