timestamp,source,book,sport,game_id,game_date,game_time,away_team,home_team,spread_line,spread_away_bets_pct,spread_home_bets_pct,spread_away_handle_pct,spread_home_handle_pct,total_line,total_over_bets_pct,total_under_bets_pct,total_over_handle_pct,total_under_handle_pct,ml_away_bets_pct,ml_home_bets_pct,ml_away_handle_pct,ml_home_handle_pct,spread_bets_handle_divergence,total_bets_handle_divergence,sharp_signal_spread,sharp_signal_total,scrape_num,d_spread_line,d_spread_away_bets_pct,d_spread_home_bets_pct,d_spread_away_handle_pct,d_spread_home_handle_pct,d_total_line,d_total_over_bets_pct,d_total_under_bets_pct,d_total_over_handle_pct,d_total_under_handle_pct,d_ml_away_bets_pct,d_ml_home_bets_pct
2026-03-23T06:43:28.774654-04:00,vsin_circa,circa,cbb,cbb_20260326_arkansas_arizona,Mar 26,,Arkansas,Arizona,8.5,57.0,43.0,45.0,55.0,165.5,50.0,50.0,50.0,50.0,67.0,33.0,9.0,91.0,12.0,0.0,False,False,1,,,,,,,,,,,,
2026-03-23T06:43:28.774654-04:00,vsin_circa,circa,cbb,cbb_20260326_illinois_houston,Mar 26,,Illinois,Houston,3.0,27.0,73.0,16.0,84.0,140.5,67.0,33.0,82.0,18.0,75.0,25.0,4.0,96.0,11.0,15.0,False,True,1,,,,,,,,,,,,
2026-03-23T06:43:28.774654-04:00,vsin_circa,circa,cbb,cbb_20260327_st_johns_duke,Mar 27,,ST Johns,Duke,7.0,86.0,14.0,62.0,38.0,143.0,50.0,50.0,50.0,50.0,67.0,33.0,98.0,2.0,24.0,0.0,True,False,1,,,,,,,,,,,,
2026-03-23T06:43:28.774654-04:00,vsin_circa,circa,cbb,cbb_20260327_alabama_michigan,Mar 27,,Alabama,Michigan,10.5,67.0,33.0,55.0,45.0,173.0,100.0,,100.0,,,100.0,,100.0,12.0,0.0,False,False,1,,,,,,,,,,,,
2026-03-23T06:43:28.774654-04:00,vsin_circa,circa,cbb,cbb_20260327_michigan_st_connecticut,Mar 27,,Michigan ST,Connecticut,1.0,40.0,60.0,9.0,91.0,136.5,50.0,50.0,50.0,50.0,100.0,,100.0,,31.0,0.0,True,False,1,,,,,,,,,,,,
2026-03-23T06:43:28.774654-04:00,vsin_circa,circa,cbb,cbb_20260327_tennessee_iowa_st,Mar 27,,Tennessee,Iowa ST,4.5,,100.0,,100.0,138.5,50.0,50.0,50.0,50.0,,100.0,,100.0,0.0,0.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260322_miami_fl_purdue,Mar 22,,Miami FL,Purdue,8.5,39.0,61.0,46.0,54.0,146.5,78.0,22.0,75.0,25.0,19.0,81.0,38.0,62.0,7.0,3.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260322_kentucky_iowa_st,Mar 22,,Kentucky,Iowa ST,5.5,30.0,70.0,37.0,63.0,146.5,74.0,26.0,63.0,37.0,23.0,77.0,38.0,62.0,7.0,11.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260322_illinois_st_wake_forest,Mar 22,,Illinois ST,Wake Forest,8.5,63.0,37.0,70.0,30.0,152.5,66.0,34.0,86.0,14.0,8.0,92.0,42.0,58.0,7.0,20.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260322_st_johns_kansas,Mar 22,,ST Johns,Kansas,-3.5,56.0,44.0,66.0,34.0,145.5,64.0,36.0,48.0,52.0,62.0,38.0,53.0,47.0,10.0,16.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260322_tennessee_virginia,Mar 22,,Tennessee,Virginia,-1.5,48.0,52.0,57.0,43.0,137.5,74.0,26.0,65.0,35.0,48.0,52.0,54.0,46.0,9.0,9.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260322_seattle_u_auburn,Mar 22,,Seattle U,Auburn,14.5,64.0,36.0,68.0,32.0,145.5,56.0,44.0,50.0,50.0,11.0,89.0,59.0,41.0,4.0,6.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260322_unlv_tulsa,Mar 22,,UNLV,Tulsa,4.5,40.0,60.0,31.0,69.0,161.5,61.0,39.0,83.0,17.0,14.0,86.0,42.0,58.0,9.0,22.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260322_iowa_florida,Mar 22,,Iowa,Florida,10.5,19.0,81.0,22.0,78.0,145.5,51.0,49.0,51.0,49.0,8.0,92.0,31.0,69.0,3.0,0.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260322_george_washington_new_mexico,Mar 22,,George Washington,New Mexico,6.5,28.0,72.0,23.0,77.0,161.5,49.0,51.0,72.0,28.0,9.0,91.0,18.0,82.0,5.0,23.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260322_utah_st_arizona,Mar 22,,Utah ST,Arizona,11.5,15.0,85.0,11.0,89.0,153.5,67.0,33.0,75.0,25.0,7.0,93.0,14.0,86.0,4.0,8.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260322_wichita_st_oklahoma_st,Mar 22,,Wichita ST,Oklahoma ST,2.5,54.0,46.0,63.0,37.0,164.5,51.0,49.0,58.0,42.0,49.0,51.0,70.0,30.0,9.0,7.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260322_st_josephs_california,Mar 22,,ST Josephs,California,5.5,52.0,48.0,73.0,27.0,152.5,38.0,62.0,38.0,62.0,19.0,81.0,40.0,60.0,21.0,0.0,True,False,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260322_ucla_connecticut,Mar 22,,UCLA,Connecticut,5.5,36.0,64.0,46.0,54.0,135.5,77.0,23.0,70.0,30.0,22.0,78.0,33.0,67.0,10.0,7.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260322_texas_tech_alabama,Mar 22,,Texas Tech,Alabama,1.5,60.0,40.0,70.0,30.0,164.5,70.0,30.0,80.0,20.0,50.0,50.0,53.0,47.0,10.0,10.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260326_texas_purdue,Mar 26,,Texas,Purdue,7.5,53.0,47.0,56.0,44.0,148.5,76.0,24.0,61.0,39.0,26.0,74.0,45.0,55.0,3.0,15.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260326_iowa_nebraska,Mar 26,,Iowa,Nebraska,2.5,41.0,59.0,24.0,76.0,133.5,80.0,20.0,78.0,22.0,41.0,59.0,59.0,41.0,17.0,2.0,True,False,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260326_arkansas_arizona,Mar 26,,Arkansas,Arizona,8.5,65.0,35.0,81.0,19.0,166.5,51.0,49.0,60.0,40.0,33.0,67.0,82.0,18.0,16.0,9.0,True,False,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260326_illinois_houston,Mar 26,,Illinois,Houston,2.5,26.0,74.0,15.0,85.0,140.5,86.0,14.0,78.0,22.0,32.0,68.0,37.0,63.0,11.0,8.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260327_st_johns_duke,Mar 27,,ST Johns,Duke,6.5,54.0,46.0,61.0,39.0,142.5,80.0,20.0,83.0,17.0,37.0,63.0,70.0,30.0,7.0,3.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260327_alabama_michigan,Mar 27,,Alabama,Michigan,10.5,60.0,40.0,68.0,32.0,176.5,27.0,73.0,14.0,86.0,22.0,78.0,61.0,39.0,8.0,13.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260327_michigan_st_connecticut,Mar 27,,Michigan ST,Connecticut,1.5,51.0,49.0,48.0,52.0,137.5,65.0,35.0,14.0,86.0,53.0,47.0,51.0,49.0,3.0,51.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:01:54.812266-04:00,vsin_dk,draftkings,cbb,cbb_20260327_tennessee_iowa_st,Mar 27,,Tennessee,Iowa ST,4.5,34.0,66.0,34.0,66.0,138.5,91.0,9.0,94.0,6.0,26.0,74.0,79.0,21.0,0.0,3.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260322_miami_fl_purdue,Mar 22,,Miami FL,Purdue,8.0,41.0,59.0,27.0,73.0,147.0,83.0,17.0,82.0,18.0,68.0,32.0,8.0,92.0,14.0,1.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260322_kentucky_iowa_st,Mar 22,,Kentucky,Iowa ST,5.0,22.0,78.0,33.0,67.0,147.0,65.0,35.0,43.0,57.0,46.0,54.0,16.0,84.0,11.0,22.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260322_illinois_st_wake_forest,Mar 22,,Illinois ST,Wake Forest,8.0,68.0,32.0,34.0,66.0,152.5,70.0,30.0,78.0,22.0,50.0,50.0,50.0,50.0,34.0,8.0,True,False,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260322_st_johns_kansas,Mar 22,,ST Johns,Kansas,-3.5,71.0,29.0,71.0,29.0,144.5,48.0,52.0,25.0,75.0,45.0,55.0,57.0,43.0,0.0,23.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260322_tennessee_virginia,Mar 22,,Tennessee,Virginia,-1.0,55.0,45.0,64.0,36.0,137.5,68.0,32.0,48.0,52.0,36.0,64.0,28.0,72.0,9.0,20.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260322_seattle_u_auburn,Mar 22,,Seattle U,Auburn,14.5,68.0,32.0,12.0,88.0,146.0,57.0,43.0,53.0,47.0,100.0,,100.0,,56.0,4.0,True,False,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260322_unlv_tulsa,Mar 22,,UNLV,Tulsa,5.0,38.0,62.0,52.0,48.0,161.5,83.0,17.0,99.0,1.0,57.0,43.0,18.0,82.0,14.0,16.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260322_iowa_florida,Mar 22,,Iowa,Florida,10.0,20.0,80.0,26.0,74.0,145.5,72.0,28.0,75.0,25.0,75.0,25.0,29.0,71.0,6.0,3.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260322_george_washington_new_mexico,Mar 22,,George Washington,New Mexico,7.0,21.0,79.0,20.0,80.0,161.5,67.0,33.0,99.0,1.0,,100.0,,100.0,1.0,32.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260322_utah_st_arizona,Mar 22,,Utah ST,Arizona,12.0,20.0,80.0,40.0,60.0,153.5,78.0,22.0,58.0,42.0,54.0,46.0,15.0,85.0,20.0,20.0,True,True,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260322_wichita_st_oklahoma_st,Mar 22,,Wichita ST,Oklahoma ST,2.0,67.0,33.0,90.0,10.0,164.5,44.0,56.0,25.0,75.0,56.0,44.0,5.0,95.0,23.0,19.0,True,True,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260322_st_josephs_california,Mar 22,,ST Josephs,California,5.5,61.0,39.0,59.0,41.0,153.0,36.0,64.0,60.0,40.0,40.0,60.0,,100.0,2.0,24.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260322_ucla_connecticut,Mar 22,,UCLA,Connecticut,5.5,43.0,57.0,42.0,58.0,135.5,70.0,30.0,36.0,64.0,72.0,28.0,49.0,51.0,1.0,34.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260322_texas_tech_alabama,Mar 22,,Texas Tech,Alabama,1.0,62.0,38.0,49.0,51.0,164.0,81.0,19.0,58.0,42.0,45.0,55.0,77.0,23.0,13.0,23.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260326_texas_purdue,Mar 26,,Texas,Purdue,8.0,70.0,30.0,43.0,57.0,148.5,50.0,50.0,1.0,99.0,25.0,75.0,7.0,93.0,27.0,49.0,True,True,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260326_iowa_nebraska,Mar 26,,Iowa,Nebraska,2.5,29.0,71.0,82.0,18.0,133.5,50.0,50.0,33.0,67.0,25.0,75.0,16.0,84.0,53.0,17.0,True,True,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260326_arkansas_arizona,Mar 26,,Arkansas,Arizona,8.5,57.0,43.0,45.0,55.0,165.5,50.0,50.0,50.0,50.0,67.0,33.0,9.0,91.0,12.0,0.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260326_illinois_houston,Mar 26,,Illinois,Houston,3.0,27.0,73.0,16.0,84.0,140.5,67.0,33.0,82.0,18.0,75.0,25.0,4.0,96.0,11.0,15.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260327_st_johns_duke,Mar 27,,ST Johns,Duke,7.0,86.0,14.0,62.0,38.0,143.0,50.0,50.0,50.0,50.0,67.0,33.0,98.0,2.0,24.0,0.0,True,False,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260327_alabama_michigan,Mar 27,,Alabama,Michigan,10.5,67.0,33.0,55.0,45.0,173.0,100.0,,100.0,,,100.0,,100.0,12.0,0.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260327_michigan_st_connecticut,Mar 27,,Michigan ST,Connecticut,1.0,40.0,60.0,9.0,91.0,136.5,50.0,50.0,50.0,50.0,100.0,,100.0,,31.0,0.0,True,False,1,,,,,,,,,,,,
2026-03-23T07:02:15.214466-04:00,vsin_circa,circa,cbb,cbb_20260327_tennessee_iowa_st,Mar 27,,Tennessee,Iowa ST,4.5,,100.0,,100.0,138.5,50.0,50.0,50.0,50.0,,100.0,,100.0,0.0,0.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260322_miami_fl_purdue,Mar 22,,Miami FL,Purdue,8.5,39.0,61.0,46.0,54.0,146.5,78.0,22.0,75.0,25.0,19.0,81.0,38.0,62.0,7.0,3.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260322_kentucky_iowa_st,Mar 22,,Kentucky,Iowa ST,5.5,30.0,70.0,37.0,63.0,146.5,74.0,26.0,63.0,37.0,23.0,77.0,38.0,62.0,7.0,11.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260322_illinois_st_wake_forest,Mar 22,,Illinois ST,Wake Forest,8.5,63.0,37.0,70.0,30.0,152.5,66.0,34.0,86.0,14.0,8.0,92.0,42.0,58.0,7.0,20.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260322_st_johns_kansas,Mar 22,,ST Johns,Kansas,-3.5,56.0,44.0,66.0,34.0,145.5,64.0,36.0,48.0,52.0,62.0,38.0,53.0,47.0,10.0,16.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260322_tennessee_virginia,Mar 22,,Tennessee,Virginia,-1.5,48.0,52.0,57.0,43.0,137.5,74.0,26.0,65.0,35.0,48.0,52.0,54.0,46.0,9.0,9.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260322_seattle_u_auburn,Mar 22,,Seattle U,Auburn,14.5,64.0,36.0,68.0,32.0,145.5,56.0,44.0,50.0,50.0,11.0,89.0,59.0,41.0,4.0,6.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260322_unlv_tulsa,Mar 22,,UNLV,Tulsa,4.5,40.0,60.0,31.0,69.0,161.5,61.0,39.0,83.0,17.0,14.0,86.0,42.0,58.0,9.0,22.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260322_iowa_florida,Mar 22,,Iowa,Florida,10.5,19.0,81.0,22.0,78.0,145.5,51.0,49.0,51.0,49.0,8.0,92.0,31.0,69.0,3.0,0.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260322_george_washington_new_mexico,Mar 22,,George Washington,New Mexico,6.5,28.0,72.0,23.0,77.0,161.5,49.0,51.0,72.0,28.0,9.0,91.0,18.0,82.0,5.0,23.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260322_utah_st_arizona,Mar 22,,Utah ST,Arizona,11.5,15.0,85.0,11.0,89.0,153.5,67.0,33.0,75.0,25.0,7.0,93.0,14.0,86.0,4.0,8.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260322_wichita_st_oklahoma_st,Mar 22,,Wichita ST,Oklahoma ST,2.5,54.0,46.0,63.0,37.0,164.5,51.0,49.0,58.0,42.0,49.0,51.0,70.0,30.0,9.0,7.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260322_st_josephs_california,Mar 22,,ST Josephs,California,5.5,52.0,48.0,73.0,27.0,152.5,38.0,62.0,38.0,62.0,19.0,81.0,40.0,60.0,21.0,0.0,True,False,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260322_ucla_connecticut,Mar 22,,UCLA,Connecticut,5.5,36.0,64.0,46.0,54.0,135.5,77.0,23.0,70.0,30.0,22.0,78.0,33.0,67.0,10.0,7.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260322_texas_tech_alabama,Mar 22,,Texas Tech,Alabama,1.5,60.0,40.0,70.0,30.0,164.5,70.0,30.0,80.0,20.0,50.0,50.0,53.0,47.0,10.0,10.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260326_texas_purdue,Mar 26,,Texas,Purdue,7.5,53.0,47.0,49.0,51.0,148.5,76.0,24.0,61.0,39.0,26.0,74.0,45.0,55.0,4.0,15.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260326_iowa_nebraska,Mar 26,,Iowa,Nebraska,2.5,42.0,58.0,36.0,64.0,133.5,81.0,19.0,78.0,22.0,41.0,59.0,59.0,41.0,6.0,3.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260326_arkansas_arizona,Mar 26,,Arkansas,Arizona,8.5,65.0,35.0,82.0,18.0,166.5,51.0,49.0,60.0,40.0,33.0,67.0,82.0,18.0,17.0,9.0,True,False,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260326_illinois_houston,Mar 26,,Illinois,Houston,2.5,26.0,74.0,15.0,85.0,140.5,85.0,15.0,78.0,22.0,32.0,68.0,37.0,63.0,11.0,7.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260327_st_johns_duke,Mar 27,,ST Johns,Duke,6.5,54.0,46.0,62.0,38.0,142.5,80.0,20.0,83.0,17.0,37.0,63.0,70.0,30.0,8.0,3.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260327_alabama_michigan,Mar 27,,Alabama,Michigan,10.5,59.0,41.0,70.0,30.0,176.5,27.0,73.0,13.0,87.0,22.0,78.0,60.0,40.0,11.0,14.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260327_michigan_st_connecticut,Mar 27,,Michigan ST,Connecticut,1.5,50.0,50.0,47.0,53.0,137.5,66.0,34.0,14.0,86.0,53.0,47.0,53.0,47.0,3.0,52.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:31:45.213103-04:00,vsin_dk,draftkings,cbb,cbb_20260327_tennessee_iowa_st,Mar 27,,Tennessee,Iowa ST,4.5,34.0,66.0,34.0,66.0,138.5,91.0,9.0,93.0,7.0,26.0,74.0,79.0,21.0,0.0,2.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:32:04.926217-04:00,vsin_circa,circa,cbb,cbb_20260322_miami_fl_purdue,Mar 22,,Miami FL,Purdue,8.0,41.0,59.0,27.0,73.0,147.0,83.0,17.0,82.0,18.0,68.0,32.0,8.0,92.0,14.0,1.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:32:04.926217-04:00,vsin_circa,circa,cbb,cbb_20260322_kentucky_iowa_st,Mar 22,,Kentucky,Iowa ST,5.0,22.0,78.0,33.0,67.0,147.0,65.0,35.0,43.0,57.0,46.0,54.0,16.0,84.0,11.0,22.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:32:04.926217-04:00,vsin_circa,circa,cbb,cbb_20260322_illinois_st_wake_forest,Mar 22,,Illinois ST,Wake Forest,8.0,68.0,32.0,34.0,66.0,152.5,70.0,30.0,78.0,22.0,50.0,50.0,50.0,50.0,34.0,8.0,True,False,1,,,,,,,,,,,,
2026-03-23T07:32:04.926217-04:00,vsin_circa,circa,cbb,cbb_20260322_st_johns_kansas,Mar 22,,ST Johns,Kansas,-3.5,71.0,29.0,71.0,29.0,144.5,48.0,52.0,25.0,75.0,45.0,55.0,57.0,43.0,0.0,23.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:32:04.926217-04:00,vsin_circa,circa,cbb,cbb_20260322_tennessee_virginia,Mar 22,,Tennessee,Virginia,-1.0,55.0,45.0,64.0,36.0,137.5,68.0,32.0,48.0,52.0,36.0,64.0,28.0,72.0,9.0,20.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:32:04.926217-04:00,vsin_circa,circa,cbb,cbb_20260322_seattle_u_auburn,Mar 22,,Seattle U,Auburn,14.5,68.0,32.0,12.0,88.0,146.0,57.0,43.0,53.0,47.0,100.0,,100.0,,56.0,4.0,True,False,1,,,,,,,,,,,,
2026-03-23T07:32:04.926217-04:00,vsin_circa,circa,cbb,cbb_20260322_unlv_tulsa,Mar 22,,UNLV,Tulsa,5.0,38.0,62.0,52.0,48.0,161.5,83.0,17.0,99.0,1.0,57.0,43.0,18.0,82.0,14.0,16.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:32:04.926217-04:00,vsin_circa,circa,cbb,cbb_20260322_iowa_florida,Mar 22,,Iowa,Florida,10.0,20.0,80.0,26.0,74.0,145.5,72.0,28.0,75.0,25.0,75.0,25.0,29.0,71.0,6.0,3.0,False,False,1,,,,,,,,,,,,
2026-03-23T07:32:04.926217-04:00,vsin_circa,circa,cbb,cbb_20260322_george_washington_new_mexico,Mar 22,,George Washington,New Mexico,7.0,21.0,79.0,20.0,80.0,161.5,67.0,33.0,99.0,1.0,,100.0,,100.0,1.0,32.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:32:04.926217-04:00,vsin_circa,circa,cbb,cbb_20260322_utah_st_arizona,Mar 22,,Utah ST,Arizona,12.0,20.0,80.0,40.0,60.0,153.5,78.0,22.0,58.0,42.0,54.0,46.0,15.0,85.0,20.0,20.0,True,True,1,,,,,,,,,,,,
2026-03-23T07:32:04.926217-04:00,vsin_circa,circa,cbb,cbb_20260322_wichita_st_oklahoma_st,Mar 22,,Wichita ST,Oklahoma ST,2.0,67.0,33.0,90.0,10.0,164.5,44.0,56.0,25.0,75.0,56.0,44.0,5.0,95.0,23.0,19.0,True,True,1,,,,,,,,,,,,
2026-03-23T07:32:04.926217-04:00,vsin_circa,circa,cbb,cbb_20260322_st_josephs_california,Mar 22,,ST Josephs,California,5.5,61.0,39.0,59.0,41.0,153.0,36.0,64.0,60.0,40.0,40.0,60.0,,100.0,2.0,24.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:32:04.926217-04:00,vsin_circa,circa,cbb,cbb_20260322_ucla_connecticut,Mar 22,,UCLA,Connecticut,5.5,43.0,57.0,42.0,58.0,135.5,70.0,30.0,36.0,64.0,72.0,28.0,49.0,51.0,1.0,34.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:32:04.926217-04:00,vsin_circa,circa,cbb,cbb_20260322_texas_tech_alabama,Mar 22,,Texas Tech,Alabama,1.0,62.0,38.0,49.0,51.0,164.0,81.0,19.0,58.0,42.0,45.0,55.0,77.0,23.0,13.0,23.0,False,True,1,,,,,,,,,,,,
2026-03-23T07:32:04.926217-04:00,vsin_circa,circa,cbb,cbb_20260326_texas_purdue,Mar 26,,Texas,Purdue,8.0,70.0,30.0,43.0,57.0,148.5,50.0,50.0,1.0,99.0,25.0,75.0,7.0,93.0,27.0,49.0,True,True,1,,,,,,,,,,,,
2026-03-23T07:32:04.926217-04:00,vsin_circa,circa,cbb,cbb_20260326_iowa_nebraska,Mar 26,,Iowa,Nebraska,2.5,29.0,71.0,82.0,18.0,133.5,50.0,50.0,33.0,67.0,25.0,75.0,16.0,84.0,53.0,17.0,True,True,1,,,,,,,,,,,,
2026-03-23T07:32:04.926217-04:00,vsin_circa,circa,cbb,cbb_20260326_arkansas_arizona,Mar 26,,Arkansas,Arizona,8.5,57.0,43.0,45.0,55.0,165.5,50.0,50.0,50.0,50.0,50.0,50.0,9.0,91.0,12.0,0.0,False,False,1,,,,,,,,,,,,
